id,name,latitude,longitude,borough,neighborhood,neighborhood_id,borough_id
454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,Manhattan,Turtle Bay-East Midtown,MN19,1.0
380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan,West Village,MN23,1.0
257.0,Lispenard St & Broadway,40.71939226,-74.00247214,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3172.0,W 74 St & Columbus Ave,40.7785669,-73.97754961,Manhattan,Lincoln Square,MN14,1.0
116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
462.0,W 22 St & 10 Ave,40.74691959,-74.00451887,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
455.0,1 Ave & E 44 St,40.75001986,-73.96905301,Manhattan,Turtle Bay-East Midtown,MN19,1.0
3156.0,E 72 St & York Ave,40.76663814,-73.95348296,Manhattan,Lenox Hill-Roosevelt Island,MN31,1.0
481.0,S 3 St & Bedford Ave,40.71260486,-73.96264403,Brooklyn,North Side-South Side,BK73,3.0
252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,Manhattan,West Village,MN23,1.0
327.0,Vesey Pl & River Terrace,40.7153379,-74.01658354,Manhattan,Battery Park City-Lower Manhattan,MN25,1.0
302.0,Avenue D & E 3 St,40.72082834,-73.97793172,Manhattan,Lower East Side,MN28,1.0
151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,Brooklyn,Bedford,BK75,3.0
3060.0,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,Brooklyn,Bedford,BK75,3.0
305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,Manhattan,Turtle Bay-East Midtown,MN19,1.0
296.0,Division St & Bowery,40.71413089,-73.9970468,Manhattan,Chinatown,MN27,1.0
355.0,Bayard St & Baxter St,40.71602118,-73.99974372,Manhattan,Chinatown,MN27,1.0
529.0,W 42 St & 8 Ave,40.7575699,-73.99098507,Manhattan,Clinton,MN15,1.0
500.0,Broadway & W 51 St,40.76228826,-73.98336183,Manhattan,Midtown-Midtown South,MN17,1.0
3103.0,N 11 St & Wythe Ave,40.72153267,-73.95782357,Brooklyn,North Side-South Side,BK73,3.0
308.0,St James Pl & Oliver St,40.71307916,-73.99851193,Manhattan,Chinatown,MN27,1.0
3090.0,N 8 St & Driggs Ave,40.71774592,-73.95600096,Brooklyn,North Side-South Side,BK73,3.0
297.0,E 15 St & 3 Ave,40.734232,-73.986923,Manhattan,Gramercy,MN21,1.0
434.0,9 Ave & W 18 St,40.74317449,-74.00366443,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,1.0
474.0,5 Ave & E 29 St,40.7451677,-73.98683077,Manhattan,Midtown-Midtown South,MN17,1.0
128.0,MacDougal St & Prince St,40.72710258,-74.00297088,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
3065.0,Union Ave & Wallabout St,40.70029511,-73.95032283,Brooklyn,Bedford,BK75,3.0
409.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107,Brooklyn,Bedford,BK75,3.0
79.0,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,MN24,1.0
