,year,number_trips_from,ntacode,ntaname,centroid
236,2015,8889,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
237,2016,11272,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
238,2017,11853,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
239,2018,12461,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
240,2019,12939,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
241,2020,14832,MN27,Chinatown,POINT (-73.99462935417733 40.71560741924985)
242,2014,7073,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
243,2015,7571,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
244,2016,9509,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
245,2017,10031,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
246,2018,10625,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
247,2019,11210,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
248,2020,13316,MN28,Lower East Side,POINT (-73.98091025889615 40.717841550660786)
249,2014,4031,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
250,2015,5507,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
251,2016,8753,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
252,2017,9911,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
253,2018,11205,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
254,2019,11699,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
255,2020,14772,MN31,Lenox Hill-Roosevelt Island,POINT (-73.95508791966981 40.7649648351147)
256,2015,2022,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
257,2016,7394,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
258,2017,8319,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
259,2018,9518,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
260,2019,9910,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
261,2020,12784,MN32,Yorkville,POINT (-73.94868252475197 40.7773252025737)
262,2016,2697,MN33,East Harlem South,POINT (-73.94575087943277 40.79001152996041)
263,2017,6750,MN33,East Harlem South,POINT (-73.94575087943277 40.79001152996041)
264,2018,7854,MN33,East Harlem South,POINT (-73.94575087943277 40.79001152996041)
265,2019,8202,MN33,East Harlem South,POINT (-73.94575087943277 40.79001152996041)
266,2020,11014,MN33,East Harlem South,POINT (-73.94575087943277 40.79001152996041)
267,2017,1962,MN34,East Harlem North,POINT (-73.93734574423205 40.80116908716637)
268,2018,6856,MN34,East Harlem North,POINT (-73.93734574423205 40.80116908716637)
269,2019,7343,MN34,East Harlem North,POINT (-73.93734574423205 40.80116908716637)
270,2020,10175,MN34,East Harlem North,POINT (-73.93734574423205 40.80116908716637)
271,2020,1974,MN35,Washington Heights North,POINT (-73.9328320780492 40.85710675713346)
272,2020,6082,MN36,Washington Heights South,POINT (-73.94141008530842 40.841697100213786)
273,2015,2456,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
274,2016,7716,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
275,2017,8351,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
276,2018,9446,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
277,2019,9963,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
278,2020,11828,MN40,Upper East Side-Carnegie Hill,POINT (-73.96117360602655 40.7747309181081)
279,2014,6427,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
280,2015,6782,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
281,2016,8005,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
282,2017,8518,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
283,2018,8821,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
284,2019,9214,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
285,2020,10959,MN50,Stuyvesant Town-Cooper Village,POINT (-73.9765820397186 40.73181419806178)
286,2014,5108,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
287,2015,4845,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
288,2016,7253,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
289,2017,8306,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
290,2018,9503,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
291,2019,9949,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
292,2020,12689,MN99,park-cemetery-etc-Manhattan,POINT (-73.9547716529651 40.788010059329)
293,2019,316,QN20,Ridgewood,POINT (-73.90171545375152 40.706531974015604)
294,2020,7349,QN20,Ridgewood,POINT (-73.90171545375152 40.706531974015604)
295,2015,2366,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
296,2016,6955,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
297,2017,8580,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
298,2018,9598,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
299,2019,10344,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
300,2020,12182,QN31,Hunters Point-Sunnyside-West Maspeth,POINT (-73.93120910736393 40.73977355781906)
301,2015,1844,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
302,2016,5468,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
303,2017,6484,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
304,2018,8324,QN68,Queensbridge-Ravenswood-Long Island City,POINT (-73.93874968623128 40.75756028876127)
